  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   482     1   0  8:33AM ??         0:15.54 /usr/sbin/filecoordinationd
  501   483     1   0  8:33AM ??         0:00.48 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  501   484     1   0  8:33AM ??         0:00.28 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501   485     1   0  8:33AM ??         0:00.47 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501   486     1   0  8:33AM ??         0:03.66 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  501   487     1   0  8:33AM ??         0:06.55 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    0   488     1   0  8:33AM ??         0:00.18 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
    0   489     1   0  8:33AM ??         0:00.01 /usr/libexec/wallpaperexportd
  501   490     1   0  8:33AM ??         0:06.21 /usr/libexec/ContinuityCaptureAgent server
  501   491     1   0  8:33AM ??         0:48.49 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
    0   492     1   0  8:33AM ??         0:00.03 automountd
  501   493     1   0  8:33AM ??         0:00.09 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501   494     1   0  8:33AM ??         0:01.56 /System/Library/CoreServices/iconservicesagent
  501   495     1   0  8:33AM ??         0:00.27 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  501   496     1   0  8:33AM ??         0:10.33 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   497     1   0  8:33AM ??         0:02.88 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugIns/ACCFinderSync.appex/Contents/MacOS/ACCFinderSync -AppleLanguages ("en-SG")
  501   499     1   0  8:33AM ??         0:03.43 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501   500     1   0  8:33AM ??         0:01.27 /usr/libexec/replayd
  501   501     1   0  8:33AM ??         0:00.11 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  501   502     1   0  8:33AM ??         0:08.75 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  501   503     1   0  8:33AM ??         0:03.37 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  501   504     1   0  8:33AM ??         0:00.45 /usr/libexec/intelligentroutingd
  501   505     1   0  8:33AM ??         0:23.69 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  501   506     1   0  8:33AM ??         0:00.41 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   508     1   0  8:33AM ??         0:01.39 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  501   509     1   0  8:33AM ??         0:00.14 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  501   511     1   0  8:33AM ??         0:00.75 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  501   512     1   0  8:33AM ??         0:02.31 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  441   513     1   0  8:33AM ??         0:00.06 /usr/libexec/rosetta/oahd
